layer_name,dsize
input_2,0.0390625
block1_conv1,256.0
block1_conv2,256.0
block1_pool,64.0
block2_conv1,128.0
block2_conv2,128.0
block2_pool,32.0
block3_conv1,64.0
block3_conv2,64.0
block3_conv3,64.0
block3_conv4,64.0
block3_pool,16.0
block4_conv1,32.0
block4_conv2,32.0
block4_conv3,32.0
block4_conv4,32.0
block4_pool,8.0
block5_conv1,8.0
block5_conv2,8.0
block5_conv3,8.0
block5_conv4,8.0
block5_pool,2.0
flatten_1,2.0
dense_1,0.0390625
