runtime,layer_name
0.0006313149999925827,input_1
0.0005733520000035242,input_1
0.0005864249999945059,input_1
0.000597333000001754,input_1
0.0005876840000098582,input_1
0.000591147999983832,input_1
0.0005911099999877933,input_1
0.0005857219999825247,input_1
0.0005951859999981934,input_1
0.0006322819999979856,input_1
0.0005870960000038394,input_1
0.0006009109999922657,input_1
0.0006602440000165188,input_1
0.0005727260000014667,input_1
0.0005908180000062657,input_1
0.0005938920000119197,input_1
0.0005953920000081325,input_1
0.0005901700000094934,input_1
0.0005948550000027808,input_1
0.000588743999998087,input_1
0.0006235220000121444,input_1
0.0006140410000057273,input_1
0.0006027250000215645,input_1
0.0005914660000030381,input_1
0.0005768729999999778,input_1
0.0005965579999838155,input_1
0.0006051510000020244,input_1
0.0005875040000091758,input_1
0.0006045399999834444,input_1
0.0005871329999820318,input_1
0.0005993730000000141,input_1
0.0005928369999992356,input_1
0.0005847439999797643,input_1
0.0005891319999875577,input_1
0.0005950219999988349,input_1
0.0005935580000198115,input_1
0.0006015209999929994,input_1
0.0006362249999938285,input_1
0.0005996330000073158,input_1
0.0005996510000159105,input_1
0.0005883540000013454,input_1
0.0006404850000194529,input_1
0.0007043359999840959,input_1
0.0006346880000194233,input_1
0.0005921330000262515,input_1
0.000569836000011037,input_1
0.0005811509999773534,input_1
0.0005820210000138104,input_1
0.000588614000008647,input_1
0.0005939099999920927,input_1
0.0005899659999784035,input_1
0.0006321700000171404,input_1
0.0005951139999922361,input_1
0.0005916140000010728,input_1
0.0005871509999906266,input_1
0.0005969469999911325,input_1
0.0006214109999973516,input_1
0.0005828360000066368,input_1
0.0005900760000088212,input_1
0.0005864290000090477,input_1
0.0006466700000089531,input_1
0.0006357800000102998,input_1
0.0006022990000076334,input_1
0.0006078360000003613,input_1
0.0005858170000010432,input_1
0.0005861880000281872,input_1
0.0006648359999985587,input_1
0.0005915210000182469,input_1
0.0005918169999858947,input_1
0.0006395209999823237,input_1
0.0005820019999873693,input_1
0.0005858180000188895,input_1
0.0005906689999903847,input_1
0.0005853170000023056,input_1
0.0005823920000125327,input_1
0.0005777240000099937,input_1
0.0005712059999893881,input_1
0.0005704659999992145,input_1
0.0005882060000033107,input_1
0.0005868730000031519,input_1
0.0005982429999846772,input_1
0.0006537059999800476,input_1
0.0005806499999891912,input_1
0.0005915579999964393,input_1
0.000663540000005014,input_1
0.0005951509999988502,input_1
0.0006029649999845788,input_1
0.0006005019999975048,input_1
0.0005964460000029703,input_1
0.0005875950000131525,input_1
0.000598779999990029,input_1
0.0005848360000015873,input_1
0.0005692979999878389,input_1
0.0005993910000086089,input_1
0.0006323909999821353,input_1
0.0006220199999802389,input_1
0.0005944650000060392,input_1
0.0005912620000003699,input_1
0.0005852430000174991,input_1
0.0005964089999963562,input_1
0.0006113910000067335,input_1
0.0005903539999962959,input_1
0.0005956130000015492,input_1
0.000588854000000083,input_1
0.000590909999999667,input_1
0.0005898349999995389,input_1
0.0005890950000093653,input_1
0.0005759830000044985,input_1
0.0005866320000222913,input_1
0.0005889269999954649,input_1
0.0006311129999971854,input_1
0.0005809459999852606,input_1
0.0005763910000098349,input_1
0.0005928909999965981,input_1
0.0006040199999972629,input_1
0.0005893350000008013,input_1
0.0005877609999913602,input_1
0.0005922420000104012,input_1
0.0005903539999962959,input_1
0.0006222609999895212,input_1
0.0006491129999801615,input_1
0.0005794269999910284,input_1
0.0005918720000011035,input_1
0.0006231129999889617,input_1
0.0005981129999952373,input_1
0.0005771680000066226,input_1
0.0005777800000146271,input_1
0.0005891869999743449,input_1
0.0005662799999868184,input_1
0.000593113000007861,input_1
0.000587945999996009,input_1
0.0005896319999862953,input_1
0.0005800390000274547,input_1
0.0005907980000188218,input_1
0.0005883720000099402,input_1
0.0006017789999930301,input_1
0.0005858539999792356,input_1
0.0006408910000175183,input_1
0.0005937049999999999,input_1
0.0005936870000198269,input_1
0.0006362050000063846,input_1
0.0005935759999999846,input_1
0.000579520000002276,input_1
0.0005959650000022521,input_1
0.0005936690000112321,input_1
0.0005877799999893796,input_1
0.0005908910000016476,input_1
0.0005874089999906573,input_1
0.0005912979999891377,input_1
0.0007019279999838091,input_1
0.004606068000015284,block1_conv1
0.00447077100000115,block1_conv1
0.0032089160000055017,block1_conv1
0.0030682310000145208,block1_conv1
0.0031047310000076322,block1_conv1
0.002945785999997952,block1_conv1
0.002651673999991999,block1_conv1
0.002755952000001116,block1_conv1
0.0027940440000122635,block1_conv1
0.002705173999999033,block1_conv1
0.002817100000015671,block1_conv1
0.002708415000000741,block1_conv1
0.002751284999988002,block1_conv1
0.0027403960000071947,block1_conv1
0.0026748779999934413,block1_conv1
0.0027783590000183267,block1_conv1
0.0027641000000073745,block1_conv1
0.0026606740000261198,block1_conv1
0.0028278780000050574,block1_conv1
0.0026992479999989882,block1_conv1
0.0027127660000019205,block1_conv1
0.002746563000016522,block1_conv1
0.0027601379999850906,block1_conv1
0.0026926179999975375,block1_conv1
0.0027023039999960474,block1_conv1
0.002773989000019128,block1_conv1
0.0027580450000073142,block1_conv1
0.002689265999975987,block1_conv1
0.0026584889999980987,block1_conv1
0.00273721100001012,block1_conv1
0.0028122300000177347,block1_conv1
0.002678249000013011,block1_conv1
0.0027006370000037805,block1_conv1
0.0027024510000046575,block1_conv1
0.0027801560000000336,block1_conv1
0.002810989000010977,block1_conv1
0.002706766000017069,block1_conv1
0.002690803000007236,block1_conv1
0.002808821999991551,block1_conv1
0.002698452000004181,block1_conv1
0.0027892859999951725,block1_conv1
0.002683636999989858,block1_conv1
0.0026412659999834887,block1_conv1
0.0027306560000113222,block1_conv1
0.0027621369999906165,block1_conv1
0.0027113410000083604,block1_conv1
0.0027074519999814584,block1_conv1
0.0027498600000228635,block1_conv1
0.002755562999993799,block1_conv1
0.0027300639999907617,block1_conv1
0.0027621380000084628,block1_conv1
0.002676859000018794,block1_conv1
0.002738117999996348,block1_conv1
0.0027600809999910325,block1_conv1
0.0027012480000223604,block1_conv1
0.0027474150000159625,block1_conv1
0.0026690449999762222,block1_conv1
